,0
150,"
                    
                        맥주를 좋아하는 1인이나..
아픈 이유 알콜 섭취를 못해서 찾게된 무알콜맥주!
냉장고에 뒀다 시원하게 원샷으로 꼴깍 넘길땐..
제가 원하는 맛까지는 아니라두 맥주 마시는 기분 납니다~~
탄산도 있고 목넘김도 좋아 자주 애용합니다
                    
                "
151,"
                    
                        처음맛보았는데

유통기한은  1년이네요.

맥아맛이 좀강해요  무알콜이라 배불러서 양도줄일수있구요.

알콜없이 시원한맛 즐길수있는 ! 음료네요
                    
                "
152,"
                    
                        맛 좋습니다 똑같아요
글구 밍밍하다는 사람들 많은데 제로는 원래 이런데 입헹궈가며 마시면 탄산생깁니다 맥주랑 똑같ㅋㅋ
2/1가격에 마시면 고마워해야지
                    
                "
153,"
                    
                        맥주랑 흡사한 맛!!~~

맥주대신 마시기 
딱 조은 맛~~!!!
                    
                "
154,"
                    
                        무알콜이 알콜보다 맛있을수가 없음...
근데..  중독됨... 뭔가 김빠진 호가든맛....
                    
                "
155,"
                    
                        술 마시고 싶은데 먹을 수가 없어서 시켜봤는데 안주랑 같이 먹으면 진짜 술 먹는 기분이에요 괜찮네요
                    
                "
156,"
                    
                        고소해용~
진짜 맥주마시는거가틈
트름도 꺼억하공
알쓰에게 넘 좋은상품
12000원 24캔으로 개당500원에 샀습니다
다 마실때쯤 또 주문합니데이!!
                    
                "
157,"
                    
                        음‥맥주같진않지만 쏘맥하긴좋음 
난맛이 있어서
                    
                "
158,"
                    
                        모유 수유때문에 알콜이 전혀없는 맥주를 찾고있었습니다

편의점에서 밀러 무알콜맥주를 샀는데 성인용탄산음료라고만 표기돼있고 캔에는 알콜함유량이 안나와있는것 같았어요 
아무리 봐도 어디 적혀있는지...ㅋㅋ
그래서 검색해보니 0%가 아닌 0.4?정도... 

1%미만은 무알콜로 분류된다 하니 조금이라도 알콜이 있는건 께름직해서 ㅋㅋ

이상품은 0.00%라고 대놓고 적혀있으니 
양심의 가책은 좀 덜어지네요
덕분에 술마시는듯한 기분 잘 내고있습니다

거품도 많이나고 맛도 맥주 맛과 비슷한데 
캔오픈하고 빠른시간안에 다 마시는게 좋을듯 해요...시간이 지나면 맛이 좀 저하되는듯한 기분이에요 ㅋㅋ

집앞 편의점이나 슈퍼에는 무알콜맥주를 잘 안팔뿐만아니라 비싸기도 해서 한박스 주문해두고 생각날때마다 잘 마시고 있습니다
                    
                "
159,"
                    
                        아주아주행복해유~~맥주마실수잇써소 감사합니둥꒰◍ˊꈊˋ◍꒱❤
                    
                "
160,"
                    
                        탄산이 아주 알차네요.
컵에 따르는데, 컵에 거품이 넘칠뻔 했네요.
일반 맥주보다 탄산이나 거품이 더 많아요.
치과치료 받느라 맥주 못 마신지 거의 2년이 되어 가서
정말 마시고 싶더라구요ㅜㅜ
알콜 제로 고르다가 이 하이트제로를 구매 했습니다.
리뷰가 외국거보다 더 좋던데요^ ^
[첫맛]
처음 마실때 홉의 단내인지 살짝 단내가 났어요.
나쁜 맛은 아닌데, 전형적인 맥주 향이 아니라서 조금 불편 했어요.
[마신후]
폭발적인 탄산과 거품으로 그동안 못 마시던 맥주를 마셨다는 성취감이 드네요.
물론 맛은 맥주보다는 하이볼 비스무리한 느낌!
[재음수후]
두번째 마셨더니 이게 내가 마실 음료구나, 이제부턴 하이트제로를 먹어야 되겠구나. 생각했구요.일단 트럼 잘 나와요. 일반 탄산 음료보다 더 빠르게, 그리고 취하지 않아서 더 좋아요.
                    
                "
161,"
                    
                        이거 벌써 3번째 재주문같아요.
이거 덕분에 술 거의 안마시고, 이걸 마셔도 술과 달리 배가 빨리 불러서 한캔이면 충분합니다. 
적당한 탄산으로 기분도 좋고 술 안주같은 반찬이랑 같이 먹기 부담없네요.
식으면 맛이 좀 별로라서 차갑게 해뒀다가 최대한 빨리 마시기를 추천드립니다.
국내 무알콜 맥주 중에선 이게 젤 무난하고 맥주 비슷해요.
                    
                "
162,"
                    
                        개취에 못미치는 맛...
술 좀 줄여볼까 싶어 샀는데
그냥 술을 먹어야겠다..ㅠㅠ
                    
                "
163,"
                    
                        온라인에서 파는곳이 없어서 마트에서 한개 두개씩 사다 마셨는데
쿠팡에서 판매해서 너무 좋아요
마트대비 가격도 매우매우 많이 저렴하구요
지금 술을 못마셔서 무알콜로 찾았는데 하이트가 제일 비슷한 맛이에요
다 떨어지면 또 시켜서 먹을 예정입니다
                    
                "
164,"
                    
                        술 못 드시는 엄마 드리려고 자주 구매합니다
아직도 저희 엄마는 진짜 술 인줄 아십니다
그만큼 진짜 맥주 같아요
가끔 저도 맥주 없을때 즐기기 위해 마시곤 합니다
                    
                "
165,"
                    
                        좋은 안주가 있을 때, 음주유혹이 있을 때 한잔씩 좋습니다.
                    
                "
166,"
                    
                        임신출산 수유까지 일년 반을 넘게 강제 금주 하다가.. 
아직도 모유수유중이라 무알코올 한번 먹어나보자 하고 샀는데
처음 입안에퍼진 그 맛이 아직도 감동입니다 ㅋㅋㅋ 
뒷맛은 쫌 그랬..지만 처음 훅들어온 그 맛과 향은 정말 맥주같음!
잘마실게여!!
                    
                "
167,"
                    
                        맥주를 좋아하긴 하지만 알콜이랑 친하지 않아서 기분이라도 내고싶어 내돈주고 구매한 논알콜 맥주. 

처음에는 이게 뭔맛인가 하면서 후기에 속았네 생각했는데...  엄청 시원하게 해서 먹으니 나름 기분나고 좋네요 

클라우드 맥주를 좋아해서 논알콜 클라우드 사려고 했는데 후기에 하이트가 더 맥주같은 맛이라길래 속는셈 치고 한번 구매해봤는데 두세캔 먹고보니 은근 괜찮습니다. 

이거 다먹고나면 클라우드 논알콜도 한번 먹어보고 비교해보고싶네요. 

무조건 차갑게 해서 마셔야지 아니면 뭔가 신맛만 강하게 느껴지는 가짜맥주 같아요. 

먹기전에 30분정도 냉동실 넣어뒀다 마셨더니 아주 탄산음료 저리가라 시원하네요 후훗
                    
                "
168,"
                    
                        블로그랑 리뷰 싹다보고 주문했어요
맛없다 이상하다는분도 많으셔서 고민했지만
캔 디자인도 왠지 맘에들고ㅎㅎ 그래서 겟 했습니다.

임신 6개월인데 맥주가 갑자기 너무먹고 싶어서 
주문했어요! 어떤분이 하이트에 전화해서 진짜 임신중 마셔도 되냐고 맞냐고 확인 전화를 했다 하더라구요!  안심하고 마셔도된다고!! 답변이 왔다해서 시켰어요.

보쌈시키고, 남편이랑 남편친구랑 술마실때 같이 쨘 하고 마셨어요 두캔이나!!^^
맛은 보리맛?  났구요. 맥주같아요! 
오자마자 냉장고 보관 1시간정도 하고 마실때 냉동고에 10분정도 넣고 꺼내 마셨어요.

맥주맛 안난다는분들도 있어서 일부러 시원하게 마셨구요
장염걸린 친구도 와서 하이트제로 마셨는데 아무 일 없었습니다.
임산부들은 공감하실텐데 콜라나 사이다 마시면 끝에 단맛이 남아있어서 그게 너무 싫거든요?
이건 진짜 끝맛이 깔끔했어요!! 
또 시켜 먹을거예요ㅜㅜ
                    
                "
169,"
                    
                        운동후,퇴근후, 갈증해소  피로회복의 마른안주와
알콜 부담 없이 숙면에 도움주는 ...감사합니다
                    
                "
170,"
                    
                        우리집 최애 품목입니다 ㅎㅎ
딸과 전 맥주파라  집세서 둘이 홈술을 좋아합니다
그러다 너무 어쩔땐  필받아 믾이 먹게되면 다음날 지장있어 무알콜로 갈아탔습니다
처음 먹었을땐 이게뭐지
첫맛은 맥주인데  끝맛이 홉의 쌉쌀하고 훅올라오는 향이 거슬렸는데  안주랑 같이 먹다보니 끝맛도 익숙해지고 이제는 그냥 맥주보다 이게더 첫맛이 좋아서 더 자주먹게되네요
술못마시는 남편이 아주 좋아합니다
운동후. 심심할때 한개씩 저보다 더 많이 먹어 채워놓기 바쁘네요
가격도 싸고  맛도좋고 기분은 내고 ㅎㅎ
무거운거 배달을 자주시켜 쿠팡맨에게 미안하기도 합니다 ㅎㅎ
다른 무알콜도 먹어봤지만 이게 젤로 맞는거 같아요
주위사람들에게도 추천해주고있습니다~~
                    
                "
171,"
                    
                        술을 마시지는 않기에... 
고기를 먹을 때나 밤늦게 가볍게 마실 무언가가 필요해서 구매했어요.
다른 국산 무알콜 맥주에 비하며 얘는 좀더 크리미한 느낌이 드네요
거품이 더 세밀한데다가.. 입과 목을 감싸고 넘어가는 느낌이 부드럽게 넘어가요. 
아내는 이게 더 좋다고 하는데.. 
난 개인적으로 다른 무알콜 맥주가 더 좋은거 같네요..
그리고 조금 더 달달한거 같아요.
                    
                "
172,"
                    
                        처음으로 맥주를 시켜봤는데 괜찮네요.
다음에도 구매해도 괜찮다고 생각합니다.
                    
                "
173,"
                    
                        먹어본 많은 무알콜 맥주 제품 중 진짜 맥주맛과 느낌에 가장 흡사함~먹다보면 때때로 분위기에 취하기도 함.
                    
                "
174,"
                    
                        임신 출산으로 인해 일년넘게 알코올 입에도 안댔는데, 크리스마스에 기분 내려고 시켜봤어요~^^ 
생각보다 맛도 맛있고 좋아요
                    
                "
175,"
                    
                        다이어트의 영원한 동반자
무알콜을 만난이후 다시태어난 삶을 살고있어요 ㅋㅋ
                    
                "
176,"
                    
                        술은 못마시지만  기분은 내고싶을때..요거 딱입니다ㅋㅋ


남편은 진짜맥주..저는 요거..
.
.
.
.
.
.
.
.요즘같은 코로나시대에 밖에 나가지마시고
.
.치킨시켜서 요거랑 드세요
                    
                "
177,"
                    
                        진짜 맥주같은 맛이 안나죠
그래서 기대는 안했는데. 역시 맛이 쏘쏘 ㅎㅎㅎㅎㅎ
그냥 ~ 
먹어도 알콜도는 느낌 안나고 기분만 내니 좋은걸로^^
                    
                "
178,"
                    
                        술을 자주 먹다보니
간수치가 올라갔데요,,

끊기는 어렵고
맥주맛이 나니 그나마 먹는 기분이랄까,,,

근데 이러다가 술 끊겠어요,,
그닥 맛이 안나네요 ㅋㅋㅋ

술맛이 나긴한데 뭔가 술이 아닌거 같은니
맛이 없는 느낌???

마트에서 살까하다가
쿠팡에서 찾아보고 
많이 저렴해서
구매했어요

건강해지길 바라며
이것은 간에 나쁘지 않으나 살이 찔려나??
흠흠,,,잘 모르겠네요 ㅋㅋㅋㅋㅋ

암튼 주문한거  다 먹어야하네요,,,

얍!!!
                    
                "
179,"
                    
                        너무 엿질금 같은 맛이나요
칭**껀 거의 알콜같았는데ㅠ23개 남은거 언제먹나싶네요
                    
                "
180,"
                    
                        벌써 몇번째 재구매인지~~
괜찮아요^^
맥주보다 칼로리도 낮고 가격도 저렴하고~~
맥주 마시고 싶을때 맥주 대신 마시면 좋아요!!
                    
                "
181,"
                    
                        항상 먹는 제품이에요.

수유부라 다른 무알콜 맥주는 못마시고 항상 화이트 제로만 마셔요!

아예 알코올이 없다고 해서 안심하고 마셔요!

맥주맛이랑 제일 비슷한 것 같아요❤️

하이트제로 덕분에 맥주 못마시는 고통을 잘 이겨내고 있어요
                    
                "
182,"
                    
                        혼자뭐먹을때 기분낼겸 혼술처럼막먹으려고주문했는데
진짜맥주같다는 평좀 남기지마세요 
그거에속았음 혀가다른건지..
                    
                "
183,"
                    
                        맛은 처음 먹을때는 괜찮아요 근데 마지막에 마실때는 끝맛이 약간 씁니다
                    
                "
184,"
                    
                        무알콜은 보통 맛없는데 이건 그래도 상당히 맥주맛에 가깝네요

부담없이 마시기 정말 좋아요.
                    
                "
185,"
                    
                        술집 알바라는 건 참 고달픈 알바다

나는 술을 참 좋아하고 술자리도 좋아하는데
남들이 즐겁게 술을 마시는 데 나는 그걸 옆에서 바라만보고 서빙이나 해야하니까

게다가 17시에 출근해서 빠르면 02시 늦으면 05시에 마감까지 하고 해 뜰 때 집에가는 삶을 살다보니 쉬는날이나 여유시간에 술자리에 간다는건 꿈 같은 이야기일 뿐이었다.

그래도 사람이 한 번씩 술을 마시고 살아야지 싶어서 편의점에서 맥주나 소주도 사서 마셔보고 그러다가 내가 먹는 거보다 왔다갔다 하는게 더 많은거 같아서 인터넷으로 대량구매는 안되려나 하다가 샀던 기억이 있는 상퓸이다.

맛이 없다

술을 마시고 싶다면 그냥 술을 사서 마셔야한다
차라리 필라이트같은 저렴이친구들이 낫다

이건 술의 이름을 빌린... 음... 맛 없는 음료다.

애들한테 술 못 먹는 어른으로 교육하고 싶으면 이걸 계속 맥이면 될거다 그러면 아 하이트 맥주도 이거랑 같은 맛이겠지하고 절로 술을 멀리할거다.
                    
                "
186,"
                    
                        맥주왕인 제가 다이어트 땜시 ㅠㅠ
정 못 참겠는 날을 위해 쟁여놧어요 ㅋㅋㅋ
이것보단 같은 칼로리라면 밥을 먹는게
좋아서 아직까지는 안먹었는데 먹어보고 또 남기겟습니다.
                    
                "
187,"
                    
                        친구가 놀러와서 주문했어요.
술한잔 먹고 자고 가면 좋을텐데~~~~그러지 못하는 상황이라...
술은 먹고싶고~~

기분 좀 낼까하고 주문했네요~~~~~~~

저는 평소 소주파에요:)
맥주는 가끔씩~~~~~~~~~~~~~~

임신 중일때 처음 무알콜 맥주 접해보았는데
(11월이면 아기 돌)
그때는 진짜 맥주맛나는것같아서 아기한테 괜히 미안한 마음들고..
한모금 먹고 안먹었거든요?

근데 출산 후 먹으니~~~~~~  맛이..없어요~~~~~ ㅜㅜ
차라리 진짜맥주를 먹는게ㅜㅜ

운전해야될때~~~ 그냥 기분만 내고싶을때 먹는것으로

만족해야될것같아요.
                    
                "
188,"
                    
                        가격이 너무 저렴해서 좋은기회에 잘샀습니다 ㅎ
무알콜 맥주중에 가장 맥주같이 느껴지는 상품이에요 ㅎ
시중가격에 비해 저렴하게 잘샀어요ㅎ
                    
                "
189,"
                    
                        첫맛은 맥주느낌 뒷맛은 구수한 향과 맛.

맥주 특유의 씁쓸한 홉 맛은 많이 안느껴집니다.
                    
                "
190,"
                    
                        항상 먹는 무알콜맥주
다른 무알콜 보다 청량감이 좋아서
매일 한잔씩 마셔용ㅎㅎㅎ
                    
                "
191,"
                    
                        적응이 안돼서 그런가... 맛이 없어요
카x 무알콜 맛있어서 먹다가 더 저렴해서 주문해본 건데요
다시 카x로 돌아갈 것 같아요
                    
                "
192,"
                    
                        아~~남편이 무알콜맛에 빠졌어요~
출산후 무알콜로 마실려고 제가시켰는데
어느순간 남편이 더 찾네요.

저희 둘 다 소맥파인데  무알콜맥주랑 소주랑 섞어마시니 더
진한맛이 난다며 좋아하네요~

두번째 구매했어요~ 칼로리도 낮고 애기도 돌봐야하니 무알콜로!
만족합니다. 마시다보니 맛있어요~  알콜들어간 맥주도 맥주지만
무알콜중에서 하이트가 가장 만족스럽네용.
                    
                "
193,"
                    
                        맥주사러 편의점을 방앗간처럼 드나들었는데,
이젠 맥주도 별로 막걸리도 별로...
별 일이 다 있어요ㅎㅎ

그래도 맹물만 마시기엔 허전해서 찾다보니
요런게 있네요. 
24캔이나 주문해서 별로면 어쩌니 걱정했는데
엊저녁 마셔보니 저한테는 딱 입니다.
알콜 0프로, 맛은 음...누룩? 
맥주와 느낌이 비슷합니다.
(사실 누룩 본적은 없지만
먹어본다면 이런 맛이 아닐까하는^^)

차나오면 냉장고에 쟁여둘려구요.
이거 마시고 운전해도 전혀 문제없으니 일석이조.

이걸로 성에 안차실분들 혀를 끌끌 차시겠지만,
요즘들어 술이 잘 안먹히는 분들 
맛 함 보세요~~
                    
                "
194,"
                    
                        임신과 수유로 1년 정도 못마신 맥주
못참고 얼마전 마트에서 사 마셔봤는데 
아주 만족! 거품이 풍부한것도 좋구요
아주 순하고 부드러운 맥주 느낌이에요
아무래도 톡쏘고 칼칼(?)한 맛은 덜하고 단맛은 강하지만
오랜기간 금주하다 마시니 만족이에요(시원하고 거품이 느껴지는 것만으로도 맥주 필 가득합니다)
마트에서는 한캔에 1,500이었는데 
쿠팡에서 아주싸게 구매하네요~
                    
                "
195,"
                    
                        맛이 ㅜㅜ 저랑안맞네요
비트버거 무알콜 먹어보고 너무 괜찮아서 무알콜도 맛있는줄알았는데....그냥 일반.하이트로 고고할라구요.
                    
                "
196,"
                    
                        무알콜은처음인데 특유의보리냄새만빼면 괜찮아요
                    
                "
197,"
                    
                        좋은 상품 감사합니다.
늘 애용하는 상품입니다.
                    
                "
198,"
                    
                        전 술잘알인데 다이어트중이라 그냥 기분만 내려고 이거 마시는데 맛없다고 하는 사람이 많던데 전 만족해요~오히려 가격이 비싼 다른 무알콜보다 이게 나아요~저녁에 그냥 한캔 쭉 마시고 자면 스트레스도 풀리고 살도 안쪄서 좋아요! 시원하게 김치냉장고에 쟁여놨는데
왠지 모를 뿌듯함 ㅋㅋㅋ
                    
                "
199,"
                    
                        재구매

알콜 대신 먹기 좋아요
꼭 시원하게 차게 드세요!
                    
                "
200,"
                    
                        저렴하게구매잘했어요~쿠팡에서무알콜맥주를팔다니진작살걸그랬네요~담에또주문할께요
                    
                "
201,"
                    
                        아직 시식 전인데 평이 좋아서 구입했어요, 기대됩니다~
                    
                "
202,"
                    
                        수유부인데 저녁에 한캔씩하구있어요ㅋㅋ
맥주맛이랑 똑같아여...
                    
                "
203,"
                    
                        술못먹는 저는 여름에 무알콜없음
못살아요ㅋㅋ
무알콜도 종류가많은데 다 먹어보아도
하이트가 진리!
맥주맛과 제일 흡사하며
갈증날때 한캔마시면 정말 행복함ㅋ
배송도 칼배송이고 정말 저렴히 구입해서
너무 좋아요 ㅋㅋㅋ
                    
                "
204,"
                    
                        술은 매일못먹겠고  술대신 부담없이 먹어요  정말 최고예요~^^
                    
                "
205,"
                    
                        요세 술을 너무 자주 많이 마셧더니 남들이 줄이래서 무알콜 찾아봤어요  확실히 알콜 맥주가 당연히 더 맛있는건 확실하구요
이건 담배피는 사람이 금연한다고 사탕 껌 찾듯이  맥주마시는 사람이 알콜 없어도 맥주는 마셔야겟다 생각하고 마시기에 적당한것 같아요
맥주 느낌은 나요 ㅎㅎ맛도 그 비스므리하게 나구요
                    
                "
206,"
                    
                        맛은 맥주 비슷 .
자세히 느껴보면 물엿 맛이 난다는데 맥주 비슷함
                    
                "
207,"
                    
                        느낌은 맥주 같지만 분명 맥주는 아닌맛 그냥 흉내 낸맛 하긴 이제품 자체가 그런것이니 큰기대는 안하시는게 ...
                    
                "
208,"
                    
                        31주 임산부인데요 늘 마셔요 ;;벌써 두번째 주문이에요 다 떨어지면 편의점 가서 사오기도 하고;; 맥주도 좋아하고 시원함 청량감에 마시는데 맥주랑 비교하면 안돼구요 ㅋㅋ 단맛 적고 뒷맛 깔끔하게 떨어지는 맥주향나는 탄산수라고 생각하면 마음 내려놓고 신나게 마시게 됩니다 ㅋㅋㅋㅋ
                    
                "
209,"
                    
                        임산부라 술자리 기분내려고 샀어요~~!! 양도 많고 마트보다 훨씬 저렴해서 좋아요
                    
                "
210,"
                    
                        흠.. 
술좀 줄여볼까 해서 주문 했는데...

인스턴트의 씁쓸한 맛이네요
                    
                "
211,"
                    
                        재구매해요~

맥주 한잔씩 하면
시원하고 좋은데,
알콜성분이란게
몸에도 안좋고, 중독성도있고
여성들입장에선
다이어트에 적이고 ~

우연히 마셔본 제로맥주~
보리호프의 구수함과 맥주의
쌉싸름함은 그대로이면서
알콜냄새는 쏙빠진
넘나 깔끔한맛에 반해
가끔 한 두캔 사먹다가
무알콜이니 인터넷구매가
가능하겠구나 싶어
찾아보니 역시 더 저렴하게살수있구
24개들이를 사놓으니
미리 저장하여 시원~하게
즐기기도 딱이더라구요~

이젠 진짜맥주보단 전
이녀석이 더 좋아요 ㅎ
취하는게 목적인분이 아니시라면
적극추천요 ㅎ
달달한 탄산음료는싫고
탄산수는 심심하고
맥주좋아하지만 알콜필요없다 하시는분이라면
아마 최고의음료가 아닐까 싶네요~
                    
                "
212,"
                    
                        늘 시켜먹던거라 따로 리뷰가 필요없음
사정상 알코올 못먹는 사람들 개꿀
                    
                "
213,"
                    
                        가격도 저렴하고 거품이 품부하고 맛도 깔끔해서 기름진 음식과 함께 음료대용으로 먹기 좋습니다
                    
                "
214,"
                    
                        탄산은 맥주보다 약간 약한데 맛있어요.
색깔은 주황색이에요
                    
                "
215,"
                    
                        임신 중일 때 1-2캔 먹고 이제 출산하고 수유 중인데 너무 먹고 싶어서 야금야금 먹다가 편의점에서 1500원 하길래 나가는 돈이 만만치 않아 ㅋㅋ 혹시나 쿠팡 가격 보니 너무 괜찮은거에요!

바로 주문했고 다음 날 왔습니다. 이전에 하이트 제로 관계자분께 들었는데 무알콜이여도 알콜이 조금씩 들어있는데 하이트 제로는 완전 0도 라 하더군요

조금이라도 깨름칙하신분은 하이트 제로 구매하시고
맥주 너무 좋아하시는데 사정상 지금 못 드시는 분께 추천합니다

단건싫고 탄산수는 맛없어서 대체 못하고 있었는데 하이트제로가 그나마 맥주와 가장 유사합니다! 목넘김 너무 시원하고 좋아요!!
                    
                "
216,"
                    
                        요즘 가격이 올라서 15,200원에 샀는데
갑자기~~~ 12,000원으로
떨어 졌네요. ㅜㅜ
                    
                "
217,"
                    
                        개인차 있겠지만 저는 이 제품이 너무 잘맞네요.맛있고 무알콜 이라서 많이 마셔도 담날 숙취없는 것도 너무좋아요.주량이 쎄서 술엄청 많이 자주먹었거든요
무알콜맥주 먹고 부터 알콜 끊었어요(7개월차)
주변인들 에게도 전파중예요.평생 무알콜맥주 먹을꺼예요~
                    
                "
218,"
                    
                        구냥 맥주맛이랑 똑같은거 같아요
엄마가 이런거 왜사냐고 하시더니
젤 잘드시네요 ㅎㅎㅎ
                    
                "
219,"
                    
                        맥주대용으로 ㅎㅎ괜찮습니다ㅎㅎ
논알콜 특유의 엿기름 맛은 안난다고 할수 없어요 ...
                    
                "
220,"
                    
                        여름엔 한달엔 한번 요즘은 2달에 한번씩은 시켜서 마십니다. 
무알콜이라 부담이 없고 탄산보단 칼로리가 적어 부담이 작어요 김치냉장고 넣어놨다가 마시면 아주 시원하고 좋습니다.
                    
                "
221,"
                    
                        여름동안 잘먹었는데..세일하길래 얼렁 구매했어요 ㅎ
                    
                "
222,"
                    
                        한달전에 비염 수술을했어요 꼭지켜야하는수칙이 금연과금주ㅠㅠ
흡연은 안하니 패스~~그러나!!!!!!!!술을좋아해서 진짜 참고 참고 참았어요. 휴가철인데 어디 가지는 못하고 집에서 모이는데 나는 술을 먹을수 없는 상황(코수술 두번할수는 없는 고통입니다) 평소에는 무알콜 먹으려면 왜먹냐 먹지를마라 하고 비웃었지만 상황이 상황인지라ㅎㅎㅎ 그동안 도인된 심정으로 참아서 그런건지 어째든 무튼 아주가벼운 맥주맛 인데 신나서 6캔 바로깠어요
탄산수 소주잔에 먹어도 기분은나고 둘이섞어 소맥도 해보았어요 
기분은 납니다~~
                    
                "
223,"
                    
                        진짜 무알콜인가 싶을정도

진짜 맥주 맛하고 똑같더라구요

굿굿
                    
                "
224,"
                    
                        시원하게 마실만 합니다.맥주느낌도 나고..ㅎ
                    
                "
225,"
                    
                        특가 세일할 때 구매했어요!
겨울이라도 청량감은 하이트 제로가 최고입니다.
                    
                "
226,"
                    
                        구입 목적▼   

무알콜이 필요했습니당.ㅋㅋ!

구매하기전 네이버에 이번에 무알콜로 나왔는대 알콜 함류된 무알콜 맥주 걸렸으니
한번 알아보시길바랍니다. 클땡땡은없어서 이거랑 같이 마시고있습니다.

사진▼

없습니다 때론 영상이 많은걸 해결해주죠

영상▼

무알콜 맥주라 흔들었다는걸 까먹고 까버렸습니다. ㅋㅋ 

알콜에서 바로 무알콜드시면 맛이없다는걸 알지요 마시는 순간 보리탄산(xx) 하지만

마시다보면 적응되고 이것도 맛있습니다.  

칼로리가 1캔에 60칼로리란건 나쁘지않죠

총평▼  

제가 마시는종류가 클xx 하이트 2가지인대 달콤한 음료먹고싶으면 클xx

술맛을 조금이라도 느끼고 싶다면 하이트 추천합니당!

요건 2캔마셔도 110칼로리니 아주괜찮네요 ㅎㅎ
                    
                "
227,"
                    
                        술못마시는 저한테 딱!!!! 
정말 맥주마시는기분이라 넘좋음 
맛이없다는사람도있는거같은데 저는 다른 무알콜맥주보다 이게 더 맛있었어요 떨어지기 무섭게 쟁여놓고 1일1캔하는중임 ~
                    
                "
228,"
                    
                        부정맥 수술하고 이제 술은 못 먹는데 무알콜 맥주가 이렇게 맛있는게 있어서 다행이네요^^
                    
                "
229,"
                    
                        탄산이 있고 달지 않은 식혜맛이네요.
홉맛이 좀 약한듯 합니다.
                    
                "
230,"
                    
                        시원하게 해서 먹으면 좋아서 냉장고에 쟁여놓고 계속 먹어요
                    
                "
231,"
                    
                        주당입니다
나이먹으니 점점 알콜마시면
담날 너무피곤해서 일주일이 망가집니다
먹고싶어도못먹겠는데
술은땡길때
탄산수로지냈거든요
무알콜왜먹나 그거먹을바엔 안먹지했거든요ㅋ
근데 괜찮네요
근데 단점!!!
까자마자 단 향이 올라오네요
마시니 역시 달달해요
뭔 성분인가몰것지만 당분빠지면
진찌술마시는기분날듯해요
시원하게 놓고 한캔까면서 후기쓰네요ㅋ
당분있어도아쉬운대로 한잔하고있습니다
좋네요
다음에타사 탄산조금적다는것도한번마셔볼까하네요
술도 진짜 젊을때 이야긴가봅니다
싱싱한 간일때 이야기...
아무튼 대리만족잘하고있네요ㅋ
당분좀빼주세요!!!그거하나 아쉽네요~
                    
                "
232,"
                    
                        알콜 알레르기 때문에 술을 못해서  향으로라두 기분낼려구 샀어요
                    
                "
233,"
                    
                        탄산 괜찮습니다
보리의 고솝고 신맛나는향이 일반맥주에비해 강합니다. 
향이나서 그러치.. 술찌들한테 주면 진짜맥주라고 생각들수도있을것같네요.
                    
                "
234,"
                    
                        8월 24일 24개입 15600원 구매

2번째 구매입니다.
엄마가 좋아해서 주문했다가 신랑도 먹게 되었는데요
공통적인게 처음엔 이게 뭔맛이야?했다가 중독된다는거래요ㅋㅋㅋ

계속 먹다보면 맥주마시는것같고 진짜 맥주는 못마시겠다네요
이거먹다가 진짜 맥주마시면 부담스러워서 못마시겠대요

도수도 없고 탄산도 세서 엄마랑 신랑이랑 더울때랑 저녁마다 한캔씩 마셔요

신랑이 장모님 좋아하시는데 제로 떨어뜨리면 안된다고 항시 주문해야한다고 강조하는데 본인도 많이 먹고싶나봐요 

다 떨어지면 또 주문할게요~
                    
                "
235,"
                    
                        ★☆ 힘 0.1도 없는 노파워리뷰어 아이언맨입니다 ☆★

1. 저는 혼자서 맥주 마시는 것을 엄청 좋아합니다
2. 그러다보니 술배가 나오더라구요
3. 안되겠다싶어서 금주를 시작, 이 상품을 구매했습니다.
4. 여기서 꿀팁!!!!!!!!!!!!!!!!!!!!
5. 매우매우 차갑게, 냉동고에는 약 6분30초!, 너무 오래 넣으면 터집니다
6. 그리고 티비나 영화를 튼다
7. 아무생각없이 손이가는대로 냅둔다
8. 마신다
9. 내려놓는다
10. 후에 생각하면 오.. 나 맥주마시고있는줄.. 이럴겁니다.
11. 단점은... 미지근하게 마시면 진짜 노맛입니다.. 그리고 약간 좀 단편이에요 ㅠㅠ


☆★ 제 리뷰가 도움되었다면 [도움되었어요]를 눌러주세요 ★☆
                    
                "
236,"
                    
                        리뷰 몰아쓰는데 도대체 이걸 몇 번 째 산겨..

그러나 술은 줄지 않았습니다..

하..
                    
                "
237,"
                    
                        일단 보기에는 누가봐도 맥주입니다
목넘길때까지도 맥주입니다
근데 끝맛이 뭐랄까 맛이 이상해요ㅎ

맥주는 먹고싶은데 알콜섭취가 안되는분들이 먹기에는 괜찮을거같아요
                    
                "
238,"
                    
                        늘~주문하느거라 딱히 할말없어요..그정도로 만족한다는뜻이겠죠^^
                    
                "
239,"
                    
                        24캔인줄 알고 와 젤 싸다!!하고 주문했다가 18캔이.와서 깜놀 ㅠㅠ
12캔 구성은 봤어도 18캔 구성은 처음봄. 젤 비싸게 산 꼴이되서 맛과 상관없이 배가아프네요 ㅠㅠ
누굴탓하랴~~
저는 클라우드보다 낫다고 봄. 탄산이 클라우드보다 더 있어요.
                    
                "
